Vessel Name: P2-8-14-20-26							
Date Time	Elapsed	A1	B1	A2	B2	A3	B3
7/17/21 10:36	0	14610.04	15991.95	13561.95	13505.47	14563.83	16207.73
7/17/21 12:36	2	17337.94	16654.61	19120.61	16885.89	19649.74	16243.74
7/17/21 14:36	4	25403.48	23389.67	24026.7	23759.58	23574.62	24329.85
7/17/21 16:36	6	27191.33	25269.89	26877.99	26770.04	25408.67	26086.81
7/17/21 18:36	8	21766.36	23590.05	23348.61	22757.84	24114.05	24514.85
							
							
							
							
							
							
							
							
							
							
	Treatment	Rotenone	IC Time	IC Count			
	Vec	5	7/17/21 10:36	14610.04			
	Vec	5	7/17/21 10:36	13561.95			
	Vec	5	7/17/21 10:36	14563.83			
	Vec	5	7/17/21 10:36	15991.95			
	Vec	5	7/17/21 10:36	13505.47			
	Vec	5	7/17/21 10:36	16207.73			
	SM	0	7/17/21 12:36	17337.94			
	SM	0	7/17/21 12:36	19120.61			
	SM	0	7/17/21 12:36	19649.74			
	SM	0	7/17/21 12:36	16654.61			
	SM	0	7/17/21 12:36	16885.89			
	SM	0	7/17/21 12:36	16243.74			
	SM	160	7/17/21 14:36	25403.48			
	SM	160	7/17/21 14:36	24026.7			
	SM	160	7/17/21 14:36	23574.62			
	SM	160	7/17/21 14:36	23389.67			
	SM	160	7/17/21 14:36	23759.58			
	SM	160	7/17/21 14:36	24329.85			
	Asp	80	7/17/21 16:36	27191.33			
	Asp	80	7/17/21 16:36	26877.99			
	Asp	80	7/17/21 16:36	25408.67			
	Asp	80	7/17/21 16:36	25269.89			
	Asp	80	7/17/21 16:36	26770.04			
	Asp	80	7/17/21 16:36	26086.81			
	Pyr	40	7/17/21 18:36	21766.36			
	Pyr	40	7/17/21 18:36	23348.61			
	Pyr	40	7/17/21 18:36	24114.05			
	Pyr	40	7/17/21 18:36	23590.05			
	Pyr	40	7/17/21 18:36	22757.84			
	Pyr	40	7/17/21 18:36	24514.85			
