Vessel Name: P5-11-17-23-29							
Date Time	Elapsed	A1	B1	A2	B2	A3	B3
7/17/21 11:24	0	21905.03	24268.2	22701.36	23050.64	20065.86	19326.11
7/17/21 13:24	2	20507.68	19089.79	18180.43	17034.85	18591.41	17440.72
7/17/21 15:24	4	25454.89	24098.63	24211.7	24329.93	26179.3	24114.11
7/17/21 17:24	6	20219.97	19865.61	17276.28	18082.8	17692.42	18488.78
7/17/21 19:24	8	16844.79	19505.88	18144.49	18940.81	17414.99	18750.67
							
							
							
							
							
							
							
							
							
							
	Treatment	Rotenone	IC Time	IC Count			
	Vec	40	7/17/21 11:24	21905.03			
	Vec	40	7/17/21 11:24	22701.36			
	Vec	40	7/17/21 11:24	20065.86			
	Vec	40	7/17/21 11:24	24268.2			
	Vec	40	7/17/21 11:24	23050.64			
	Vec	40	7/17/21 11:24	19326.11			
	SM	20	7/17/21 13:24	20507.68			
	SM	20	7/17/21 13:24	18180.43			
	SM	20	7/17/21 13:24	18591.41			
	SM	20	7/17/21 13:24	19089.79			
	SM	20	7/17/21 13:24	17034.85			
	SM	20	7/17/21 13:24	17440.72			
	Asp	10	7/17/21 15:24	25454.89			
	Asp	10	7/17/21 15:24	24211.7			
	Asp	10	7/17/21 15:24	26179.3			
	Asp	10	7/17/21 15:24	24098.63			
	Asp	10	7/17/21 15:24	24329.93			
	Asp	10	7/17/21 15:24	24114.11			
	Pyr	5	7/17/21 17:24	20219.97			
	Pyr	5	7/17/21 17:24	17276.28			
	Pyr	5	7/17/21 17:24	17692.42			
	Pyr	5	7/17/21 17:24	19865.61			
	Pyr	5	7/17/21 17:24	18082.8			
	Pyr	5	7/17/21 17:24	18488.78			
	t0	0	7/17/21 19:24	16844.79			
	t0	0	7/17/21 19:24	18144.49			
	t0	0	7/17/21 19:24	17414.99			
	t0	0	7/17/21 19:24	19505.88			
	t0	0	7/17/21 19:24	18940.81			
	t0	0	7/17/21 19:24	18750.67			
