Vessel Name: P1-7-13-19-25							
Date Time	Elapsed	A1	B1	A2	B2	A3	B3
7/17/21 10:20	0	18719.85	19752.47	19238.74	17343.1	17641.09	17384.25
7/17/21 12:20	2	23394.85	24643.28	22762.99	22891.35	23862.35	22834.88
7/17/21 14:20	4	24566.15	24042.16	24078.17	22187.61	21273.14	19937.39
7/17/21 16:20	6	23122.51	24489.09	21411.84	21201.22	20533.36	20004.21
7/17/21 18:20	8	19639.51	20358.72	21863.96	21930.72	21175.57	20815.93
							
							
							
							
							
							
							
							
							
							
	Treatment	Rotenone	IC Time	IC Count			
	Vec	0	7/17/21 10:20	18719.85			
	Vec	0	7/17/21 10:20	19238.74			
	Vec	0	7/17/21 10:20	17641.09			
	Vec	0	7/17/21 10:20	19752.47			
	Vec	0	7/17/21 10:20	17343.1			
	Vec	0	7/17/21 10:20	17384.25			
	Vec	160	7/17/21 12:20	23394.85			
	Vec	160	7/17/21 12:20	22762.99			
	Vec	160	7/17/21 12:20	23862.35			
	Vec	160	7/17/21 12:20	24643.28			
	Vec	160	7/17/21 12:20	22891.35			
	Vec	160	7/17/21 12:20	22834.88			
	SM	80	7/17/21 14:20	24566.15			
	SM	80	7/17/21 14:20	24078.17			
	SM	80	7/17/21 14:20	21273.14			
	SM	80	7/17/21 14:20	24042.16			
	SM	80	7/17/21 14:20	22187.61			
	SM	80	7/17/21 14:20	19937.39			
	Asp	40	7/17/21 16:20	23122.51			
	Asp	40	7/17/21 16:20	21411.84			
	Asp	40	7/17/21 16:20	20533.36			
	Asp	40	7/17/21 16:20	24489.09			
	Asp	40	7/17/21 16:20	21201.22			
	Asp	40	7/17/21 16:20	20004.21			
	Pyr	20	7/17/21 18:20	19639.51			
	Pyr	20	7/17/21 18:20	21863.96			
	Pyr	20	7/17/21 18:20	21175.57			
	Pyr	20	7/17/21 18:20	20358.72			
	Pyr	20	7/17/21 18:20	21930.72			
	Pyr	20	7/17/21 18:20	20815.93			
