Vessel Name: P4-10-16-22-28							
Date Time	Elapsed	A1	B1	A2	B2	A3	B3
7/17/21 11:08	0	19880.96	21201.2	18622.28	18046.91	18498.97	18565.84
7/17/21 13:08	2	20481.96	21231.99	22028.33	19130.91	20142.93	18262.65
7/17/21 15:08	4	23220.2	21879.39	22891.37	20754.23	24263	21391.33
7/17/21 17:08	6	20831.33	20322.72	19526.47	20220.03	21596.86	20338.2
7/17/21 19:08	8	18714.75	19896.33	17219.8	16752.36	20081.3	19336.33
							
							
							
							
							
							
							
							
							
							
	Treatment	Rotenone	IC Time	IC Count			
	Vec	20	7/17/21 11:08	19880.96			
	Vec	20	7/17/21 11:08	18622.28			
	Vec	20	7/17/21 11:08	18498.97			
	Vec	20	7/17/21 11:08	21201.2			
	Vec	20	7/17/21 11:08	18046.91			
	Vec	20	7/17/21 11:08	18565.84			
	SM	10	7/17/21 13:08	20481.96			
	SM	10	7/17/21 13:08	22028.33			
	SM	10	7/17/21 13:08	20142.93			
	SM	10	7/17/21 13:08	21231.99			
	SM	10	7/17/21 13:08	19130.91			
	SM	10	7/17/21 13:08	18262.65			
	Asp	5	7/17/21 15:08	23220.2			
	Asp	5	7/17/21 15:08	22891.37			
	Asp	5	7/17/21 15:08	24263			
	Asp	5	7/17/21 15:08	21879.39			
	Asp	5	7/17/21 15:08	20754.23			
	Asp	5	7/17/21 15:08	21391.33			
	Pyr	0	7/17/21 17:08	20831.33			
	Pyr	0	7/17/21 17:08	19526.47			
	Pyr	0	7/17/21 17:08	21596.86			
	Pyr	0	7/17/21 17:08	20322.72			
	Pyr	0	7/17/21 17:08	20220.03			
	Pyr	0	7/17/21 17:08	20338.2			
	Pyr	160	7/17/21 19:08	18714.75			
	Pyr	160	7/17/21 19:08	17219.8			
	Pyr	160	7/17/21 19:08	20081.3			
	Pyr	160	7/17/21 19:08	19896.33			
	Pyr	160	7/17/21 19:08	16752.36			
	Pyr	160	7/17/21 19:08	19336.33			
